series,scenario,replication,run_id,source,metric,method,true_change_step,first_signal_step,signal_count,detection_delay,is_false_alarm,mu_hat,sigma_hat,baseline_size,n_phase2_steps,n_total_observations,degradation,deg_value,deg_start,seed
series3_comparison,mean_shift_2sigma,1,series3_comparison__mean_shift_2sigma__rep01,exp_source,mean,shewhart,1,2,104,2,False,100.19406238079803,1.000662549617262,50,500,11000,mean_shift,2.23606797749979,1000,1
series3_comparison,mean_shift_2sigma,1,series3_comparison__mean_shift_2sigma__rep01,exp_source,mean,cusum,1,4,209,4,False,100.19406238079803,1.000662549617262,50,500,11000,mean_shift,2.23606797749979,1000,1
series3_comparison,mean_shift_2sigma,1,series3_comparison__mean_shift_2sigma__rep01,exp_source,mean,ewma,1,3,498,3,False,100.19406238079803,1.000662549617262,50,500,11000,mean_shift,2.23606797749979,1000,1
series3_comparison,mean_shift_2sigma,2,series3_comparison__mean_shift_2sigma__rep02,exp_source,mean,shewhart,1,4,134,4,False,99.76075032402412,1.041500610953222,50,500,11000,mean_shift,2.23606797749979,1000,2
series3_comparison,mean_shift_2sigma,2,series3_comparison__mean_shift_2sigma__rep02,exp_source,mean,cusum,1,3,251,3,False,99.76075032402412,1.041500610953222,50,500,11000,mean_shift,2.23606797749979,1000,2
series3_comparison,mean_shift_2sigma,2,series3_comparison__mean_shift_2sigma__rep02,exp_source,mean,ewma,1,2,499,2,False,99.76075032402412,1.041500610953222,50,500,11000,mean_shift,2.23606797749979,1000,2
series3_comparison,mean_shift_2sigma,3,series3_comparison__mean_shift_2sigma__rep03,exp_source,mean,shewhart,1,2,39,2,False,100.08642166490421,1.156737179552658,50,500,11000,mean_shift,2.23606797749979,1000,3
series3_comparison,mean_shift_2sigma,3,series3_comparison__mean_shift_2sigma__rep03,exp_source,mean,cusum,1,4,179,4,False,100.08642166490421,1.156737179552658,50,500,11000,mean_shift,2.23606797749979,1000,3
series3_comparison,mean_shift_2sigma,3,series3_comparison__mean_shift_2sigma__rep03,exp_source,mean,ewma,1,2,491,2,False,100.08642166490421,1.156737179552658,50,500,11000,mean_shift,2.23606797749979,1000,3
series3_comparison,mean_shift_2sigma,4,series3_comparison__mean_shift_2sigma__rep04,exp_source,mean,shewhart,1,6,73,6,False,100.25764808942657,1.0523812688143088,50,500,11000,mean_shift,2.23606797749979,1000,4
series3_comparison,mean_shift_2sigma,4,series3_comparison__mean_shift_2sigma__rep04,exp_source,mean,cusum,1,6,195,6,False,100.25764808942657,1.0523812688143088,50,500,11000,mean_shift,2.23606797749979,1000,4
series3_comparison,mean_shift_2sigma,4,series3_comparison__mean_shift_2sigma__rep04,exp_source,mean,ewma,1,3,492,3,False,100.25764808942657,1.0523812688143088,50,500,11000,mean_shift,2.23606797749979,1000,4
series3_comparison,mean_shift_2sigma,5,series3_comparison__mean_shift_2sigma__rep05,exp_source,mean,shewhart,1,5,89,5,False,100.16638513946427,1.0254371841538128,50,500,11000,mean_shift,2.23606797749979,1000,5
series3_comparison,mean_shift_2sigma,5,series3_comparison__mean_shift_2sigma__rep05,exp_source,mean,cusum,1,4,205,4,False,100.16638513946427,1.0254371841538128,50,500,11000,mean_shift,2.23606797749979,1000,5
series3_comparison,mean_shift_2sigma,5,series3_comparison__mean_shift_2sigma__rep05,exp_source,mean,ewma,1,2,497,2,False,100.16638513946427,1.0254371841538128,50,500,11000,mean_shift,2.23606797749979,1000,5
series3_comparison,mean_shift_2sigma,6,series3_comparison__mean_shift_2sigma__rep06,exp_source,mean,shewhart,1,8,150,8,False,99.95571675283301,0.9776796363551767,50,500,11000,mean_shift,2.23606797749979,1000,6
series3_comparison,mean_shift_2sigma,6,series3_comparison__mean_shift_2sigma__rep06,exp_source,mean,cusum,1,4,254,4,False,99.95571675283301,0.9776796363551767,50,500,11000,mean_shift,2.23606797749979,1000,6
series3_comparison,mean_shift_2sigma,6,series3_comparison__mean_shift_2sigma__rep06,exp_source,mean,ewma,1,3,498,3,False,99.95571675283301,0.9776796363551767,50,500,11000,mean_shift,2.23606797749979,1000,6
series3_comparison,mean_shift_2sigma,7,series3_comparison__mean_shift_2sigma__rep07,exp_source,mean,shewhart,1,2,129,2,False,99.85762486714415,1.0259382870282268,50,500,11000,mean_shift,2.23606797749979,1000,7
series3_comparison,mean_shift_2sigma,7,series3_comparison__mean_shift_2sigma__rep07,exp_source,mean,cusum,1,2,245,2,False,99.85762486714415,1.0259382870282268,50,500,11000,mean_shift,2.23606797749979,1000,7
